labels,text,lang
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,english
ham,Buy one egg for me da..please:),english
ham,Talmth ????? ?? ??? ??? ???? ?? ????? ?? ??? ?? ???? ?? ???? ?? ?????? ???,hindi
spam,WIN une année fourniture de CD 4 un magasin de choix d'une valeur de £500 et entrez notre £100 tirage hebdomadaire txt MUSIC à 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,french
ham,??? ??. ?? ???? ??? ?? ?? ??? ?? ?????? ?? ?????,hindi
ham,"Wen ur liebenswerte Bums wütend wid u, dnt nehmen es ernst.. Coz wütend ist d meisten kindisch n wahre Art und Weise zeigt tiefe Zuneigung, Pflege n Luv!. kettoda manda... Haben schönen Tag da.",german
ham,"Haha awesome, omw jetzt damals",german
ham,Je dois commander les pantoufles parce que j'ai dû payer pour la rendre.,french
ham,Du wirst an der Stelle dieses Mannes sein.,german
ham,Aiyah u hat okay bereits Lar. E nydc an Radschleusen?,german
ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,english
spam,"SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info",german
ham,"Sie machen es einfach, zurück zu zahlen. Ich habe &lt;#&gt; yrs zu sagen, aber ich kann zurückzahlen früher. Sie bekommen?",german
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,english
ham,??????? 2 ???? ??? ??? ???.,hindi
ham,"Carlos sagt, er wird in &lt;#&gt; Minuten bei Mu sein.",german
ham,At WHAT TIME should i come tomorrow,english
ham,Ich fahre mit dem Bus nach Hause...,german
ham,??.W.??,hindi
ham,"Je suis déjà rentré chez moi, donc pas du tout.",french
ham,"????? ?? ?????? ???? ??, ?? ?? ????? ??. ??? ?? ?? ???? ??? ?? ????? ???? ?? ???, ??, ???? ???? ??? ????, ????? ??? ?? ????? ?? ?????",hindi
ham,????? ???? ?????? ?? ??? ???? ??? ?,hindi
ham,"Oui, c'est sûr que ma copine hante m'a fait trier toutes mes affaires, mais je vais sonner de toute façon en faisant la promotion de l'hexagone pour qui est-ce? Je ne sais pas le numéro. Joke",french
ham,?? ??? ??? ???? ??? ????? ???... ?? ??? ???? ??? ?? ???? ?? ????? ??? ?? ??? ??!,hindi
ham,"J'ai dix dollars, Jay n'est pas venu.",french
ham,"Da ma date de naissance dans le certificat est en avril, mais la vraie date est aujourd'hui. Mais ne la publiez pas. Je vous donnerai un cadeau spécial si vous gardez le secret.",french
ham,?? ??? ?? ??? ?? ?? ?? ?? ?? ?? ??? ?? ?? ????,hindi
ham,??? ?? ?? ???? ??????? ?? ??? ??? ??!,hindi
ham,"L'ancien aéroport, c'est tout ce qu'il y a d'autre, mais je baignerai mon chien plus tard.",french
ham,Je ne mangerai pas du tout aujourd'hui.,french
ham,Am Watching House – sehr unterhaltsam – bekomme ich das ganze Hugh-Laurie-Ding – sogar mit dem Stick – tatsächlich vor allem mit dem Stick.,german
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.,english
ham,??? ????? ?? ?? ???? ????? ????? ???.,hindi
ham,??... ?? ???? ????.........,hindi
ham,"Ich möchte etwas senden, das schnell verkaufen kann. &lt;#&gt; k ist kein einfaches Geld.",german
ham,Where did u go? My phone is gonna die you have to stay in here,english
ham,Indeed and by the way it was either or - not both !,english
ham,ight wollen Sie immer noch Geld zu bekommen,german
ham,Now got tv 2 watch meh? U no work today?,english
ham,"Nee kann dir da nicht helfen, ich hatte noch nie ein iPhone",german
ham,Où es-tu? Quand est-ce que tu arriveras ici?,french
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",english
spam,"FreeMSG Vous avez reçu un mini DIGITAL CAMERA GRATUIT, il suffit de répondre SNAP pour récupérer votre prix! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",french
ham,Hows the champ just leaving glasgow!,english
ham,You have got tallent but you are wasting.,english
ham,Diese Bezahlung ist &lt;DECIMAL&gt; lakhs:),german
ham,Je ne suis pas du tout content de ce que vous dites ou faites,french
ham,Rappelle-moi comment y arriver et je le ferai.,french
ham,"Dhoni haben Glück, einige große Titel zu gewinnen.So werden wir gewinnen:)",german
ham,Din i tell u jus now 420,english
ham,"Also, was machen wir heute?",german
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,english
ham,That's a shame! Maybe cld meet for few hrs tomo?,english
ham,???????2 ???? ???.,hindi
ham,??? ?????? ???? ?? ??? ?????? ???? ???,hindi
spam,Vous avez WON un montant garanti de £1000 cash ou un prix £2000. Pour réclamer le prix yr appelez notre représentant du service à la clientèle au 08714712412 entre 10h et 19h Coût 10p,french
ham,Je suis en mode paresseux aujourd'hui.,french
ham,Ce qu'aujourd'hui-dimanche..dimanche est vacances..donc pas de travail..,french
spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,english
ham,Ich sage Lavendel.,german
ham,"??? ??, ???? ?? ??? ???????. ???? ??? ?? ???? ??. ??? ??? ???? ???? ?? ????? ???? ???...",hindi
ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",english
ham,Thanks for loving me so. You rock,english
spam,???? ????? ???? ?? ??? ??! www.cblibe.com ?? ???? ?????? ??????? ??????? ???? 0871790 ????/Pixy/Powiks/Gows/Goles ???? 3 ?? ??? ?? ??????? ???? ?? ??? ??,hindi
ham,?????? ??? ?? ??? ???? ??? ??.,hindi
spam,"?? ????????? ?? ???? ?? ???? ???? ????? ??? ?? ????????? ?? ???? ?? ???? ???? ?? ???? www. reallons.k, ??? n ???? ?????? ??? 3GBP ????? ?? ???? ???? ??",hindi
ham,Wir haben uns scheiden lassen.,german
ham,Orh i tot u say she now still dun believe.,english
ham,"Oh, wirklich?? Hast du es auf Sendung geschafft? Was ist dein Talent?",german
ham,No b4 Jeudi,french
ham,Baaaabe! Ich vermisse dichuuuu! Wo bist du? Ich muss gehen und meine Klasse bei 5 unterrichten...,german
ham,?? ????? ???? ??? ?? ???? ?? ??? ?????? ??? ??? ??,hindi
ham,"Ein niedlicher Gedanke für Freundschaft: ""Es ist nicht notwendig, jedes Geheimnis mit ur schließen Frnd zu teilen, aber watever u geteilt sollte wahr sein""....",german
ham,"Chéri? Chéri? Chéri? Buvons sexy? Prune à sucre? Loverboy? Tu me manques, boyto... *smacks ton cul* Tu es allé au gymnase aussi?",french
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :),english
ham,?? ??? ????? ???? ?,hindi
ham,Bringst du auch Galileo oder Dobby mit?,german
ham,"Ensuite, Dun porter jeans lor...",french
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,english
ham,"Am Ende kotzt sie vielleicht noch, aber es ist in Ordnung. Nicht alles wird rauskommen.",german
ham,Ist alles in Ordnung?,german
spam,2 ?? ??? ??? ?? ??? ??? ????? ??? ???? ?????? ??? packing ??????? ?? ???? 2 arb ???? ?? ???? ??? ??????? ????? ??????? ??? 69888Nt ?? ?????? Mig.C2p.,hindi
ham,"Mec, on devrait encore se rafraîchir.",french
ham,Alors tu vas à Ikea str aft dat?,french
ham,"Gemäß Ihrer Anfrage 'Maangalyam (Alaipayuthe)' wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune",german
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,english
ham,Dis à Rob de s'emparer de son gf dans le théâtre.,french
ham,"Spoke avec oncle John aujourd'hui. Il sent fortement que vous avez besoin de sacrifice pour me garder ici. Il va vous appeler. Quand il le fait, je vous supplie d'écouter. Ne faites pas de promesses ou de faire des choses claires ne sont pas faciles. Et j'ai besoin que vous nous laissiez travailler sur les choses. Tant que je continue à attendre de l'aide, ma créativité sera étouffée afin que pls juste le garder heureux, pas de promesses de votre part.",french
ham,"???? ????????? ???? ????, ????? ??? ????? ???? ?",hindi
ham,"Lassen Sie mich wissen, wie es sich in den nächsten 6 Stunden. Es kann sogar Anhang sein, aber Sie sind aus diesem Alter Bereich. Allerdings ist es nicht unmöglich. So einfach chill und lassen Sie mich wissen, in 6 Stunden",german
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,english
ham,"?? ??? ???, ?? 8 ??? ?? ??? ????? ?? ??? ????",hindi
ham,Sind Sie so viel buzzy,german
ham,Ok i juz receive..,english
spam,"Sunshine Quiz Wkly Q! Gewinnen Sie eine Top-Sony-DVD-Player, wenn u wissen, welches Land Liverpool spielte in der Mitte der Woche? Txt ansr 82277. £1.50 SP:Tyron",german
ham,"Chère, appellera Tmorrow.pls accommodation.",french
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",english
ham,Il sait aussi pour le menu du déjeuner seulement da.. Je sais,french
ham,??? ?? ?? ????? ??? ??. ??? ?????? ???? ?? ????? ???? ???? ?? ??? ??????? ???? ???? ??,hindi
ham,????? ?????? ?? ??? ?? ???? ???? ????,hindi
ham,Nachricht:einige Text fehlt* Absender:Name fehlt* *Nummer fehlt *Sende:Datum fehlt *Missing U a lot thats y alles fehlt über fullonsms.com gesendet,german
ham,J'attends 4 ü à l'intérieur du parking...,french
ham,Hey! do u fancy meetin me at 4 at cha -Hav ein lil Getränk auf mich. wenn nicht txt oder Ring mich und wir treffen können l8r. ziemlich müde kam bei 3 v.pist ;) Liebe Pete x x x,german
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,english
ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,english
ham,Hé buns sexy! Qu'en est-il de ce jour-là? Aucun mot de toi ce matin sur YM... :-(... Je pense à toi,french
ham,"Hé, regarde ça, j'ai répertorié Da.",french
spam,Pour les pauses shopping les plus étincelantes à partir de 45 par personne; composez le 0121 205050 ou visitez www.shortbreaks.org.uk,french
spam,????? ??????? ??????? ????????? ??? ?? ?? ?? ??? ??? ????? 4 G.B ?? ???? ?? ???? ??? Crase ?? ??? ???? ???? ?? ??????? ??? ??? ???? ?? ??? ??????? ????,hindi
ham,Ich komme in fünf Minuten nach Hause.,german
ham,"Und auch ich habe ihn in letzter Zeit ein paar Mal weggepustet, also würde ich ihn lieber nicht aus dem Blauen simsen, um nach Gras zu suchen.",german
ham,???? ??????! ??? ??? ???????? ?? ?????.,hindi
ham,???? ??? ?? ?? ??? ?? ??? ?? ?? ????? ??. ?????? ?? ????????? ?? ???... ??? ????? ???? ??? ??????,hindi
ham,"Comme je suis entré dans ma cabine, mon PA a dit, '' Happy B'day Boss!!''. Je me sentais spécial. Elle m'a demandé 4 déjeuner. Après le déjeuner, elle m'a invité à son appartement. Nous y sommes allés.",french
ham,"K, c'est l'incident?",french
ham,"??? ????, ????. ???????, ??? ???? ?? ????? ???? ??? ???? ??. Dino ?? ?????? ?????? ?????? ????.",hindi
ham,"Ich wollte dir ein glückliches neues Jahr wünschen und ich wollte mit dir über einige rechtliche Ratschläge sprechen, um mit zu tun, wenn Gary und ich aber persönlich aufbrachen. Ich werde eine Reise nach Ptbo dafür machen. Ich hoffe, alles ist gut mit dir Babe und ich liebe dich :)",german
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,english
ham,??? ?? ?? ???.,hindi
ham,"1.20 der Anruf Kosten. Was ich denke, ist nicht schlecht. Miss ya, brauchen Sie, wollen Sie, lieben Sie",german
ham,Arrête de me connaître si bien!,french
ham,At the funeral home with Audrey and dad,english
ham,"??? ??. thu. gudu, gudyt.",hindi
ham,???? ??? ?? ????? ??? ??. ???? ??? ????????? ???. ?????? ?? ???? ??????? ???? ????? ????? ?? ??? ??? ??? ??.,hindi
ham,"?? ????, ??? ??? ?? ???? ?? ??? ??",hindi
ham,"Bien sûr, chaque fois que vous montrez la baise vers le haut &gt;:(",french
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,english
ham,On a aussi utilisé la route de Dat?,french
ham,"Ich traf Sie als Fremder und wählte Sie als meinen Freund. Solange die Welt steht, endet unsere Freundschaft nie. Lets be Friends forever!!! Gud nitz...",german
ham,"Oh gei. Das passierte mir in tron. Vielleicht krank dl es in 3d, wenn es aus",german
ham,"Ich werde um drei da sein, es sei denn, ihr wollt, dass ich etwas früher komme.",german
ham,??? ??? ????? ?? ??? Enfannack ????? ????,hindi
spam,"Wann2 PREGEAC+GENT 4 ?? ?? m8? ?? ??????? ??? ??? ?? ?????? ?? ???? 1) ???????, 2) ?????????, 3) ??? 1,2 ?? 33049 ?? ???.",hindi
ham,What is important is that you prevent dehydration by giving her enough fluids,english
ham,Should I head straight there or what,english
ham,Où êtes-vous inébranlable?,french
ham,??? ?? Yayuuuuuu ??... ?? 3230 ???????? ?? ???? ??? ??...... ?? ?????????? ?? ??? ????? ??????? ??... ??? ??? $50 ?? ??? ??? ??? ???...,hindi
ham,??? ??? ???? ?? ?? ?? ?? ???? ??. ??? ?? ???? ???????? ?? ???? ?? ?? ??????? ???? ???.,hindi
ham,Je viendrai te chercher vers 17h15 pour aller à Taunton si tu veux encore venir.,french
ham,?? ????? ???.,hindi
ham,"Tut mir leid, ich rufe später an.",german
ham,"Mais si elle boit, je vais bien.",french
ham,Joyeux Noël à u aussi annie!,french
ham,???? ?? ??? ???? ???? ??? ????? ?? ?? ?????? ?? ??? ???.,hindi
ham,"C-Film ist Juz Last-Minute-Entscheidung mah. Juz sehen 2 Lar, aber ich bin nicht interessiert.",german
ham,Ich werde Sie nicht mit Ihrer Erlaubnis anfassen.,german
ham,Ok pa. Nichts Problem:-),german
spam,MESSAGE IMPORTANT. Il s'agit d'une dernière tentative de contact. Vous avez des messages importants en attente de nos réclamations clients dept. Expires 13/4/04. Appelez 08717507382 MAINTENANT!,french
ham,Bist du jetzt nass?,german
spam,Am new 2 club & dont fink nous avons rencontré encore Will B gr8 2 C U S'il vous plaît laisser msg 2day wiv ur area 09099726553 réponse promis CARLIE x Appels£1/minMobsmore LKPOBOX177HP51FL,french
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,english
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,english
ham,"Keine Sorge, * ist einfach, einmal Zutaten haben!",german
spam,Ringtone Club: Gr8 nouveaux polys directs à votre mobile chaque semaine!,french
ham,??? ?? ???? ?? ?? ??? ???.,hindi
ham,??? ????? ??? ?? ????? ??? ?? ?? ?? ?? ?? ?? ????????? ????? ?? ???? favy ??????? ?? ???! ??? ??? ??? ?? ???. ???? ????? ???? ?? ???? ?? ?? ??? ??? ?? ??? ???? ?? ???? ??. ?? ?? ???; ????? ?? ??? ??? ????? ?? ??? ????,hindi
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",english
ham,Quelle marque?,french
spam,Herzlichen Glückwunsch! Nokia 3650 Videokamera Telefon ist Ihr Anruf 09066382422 Anrufe Kosten 150ppm Ave Anruf 3mins variieren von Handys 16+ Schließen 300603 nach BCM4284 Ldn WC1N3XX,german
ham,"No my blankets are sufficient, thx",english
ham,aathi..où es-tu cher..,french
ham,"U schreckliches Mädchen... U wusste, dat ich ging aus wif ihm jat n u immer noch kommen n fragen mich...",german
ham,???????? ?????????! ?? ???? ??? ??!,hindi
ham,S.i'm watching it in live..,english
ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,english
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",english
ham,?? ?? ???? ?????? ?? ???? "X" ??? ?? HHPYEPEY ??? ???? ?? ?? ????? ???.,hindi
spam,?? ?? ?? ?? ?? ?? ???? ?????? ??????? ????? ??? ?? ???? ??? ?? 2000 ???? ?? 4- ?????? (??????) ?? ????? ?????? ?? ??? ???? ???,hindi
ham,"Je suis cool ta luv mais v.tired 2 parce que j'ai été beaucoup de planification tous wk, nous avons obtenu notre inspection des services sociaux à la pépinière! Prenez soin & spk sn x.",french
ham,Was the farm open?,english
