labels,text,lang,sentiment
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,english,Neutral
ham,But you dint in touch with me.,english,Neutral
spam,Rufen Sie Deutschland für nur 1 Pence pro Minute! Rufen Sie von einer festen Linie über den Zugang 0844 861 85 85. Keine Vorauszahlung. Direkter Zugang!,german,Neutral
ham,Old Orchard near univ. How about you?,english,Neutral
spam,S'il vous plaît APPELEZ 08712402902 immédiatement car il y a un message urgent vous attendant.,french,Positive
ham,"Tut mir leid, nur um zu überprüfen, ob es dir nichts ausmacht, mich um halb acht vom Bahnhof abzuholen.",german,Neutral
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,english,Negative
ham,"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",english,Positive
ham,"Ich bin im Büro, ich fülle noch Formulare aus. Ich weiß, wann sie mich verlassen.",german,Neutral
spam,बेबे: यू नहीं चाहता कि मैं यू यू यू यू यू यू यू यू यू यू नहीं हूँ! मैं बुरा हूँ और एक बात 4 गंदी है. एक सेक्सी कुतिया के साथ एक कठोर समय. हम कैसे के बारे में हम मुश्किल हो! TVEVX SO(4MO),hindi,Neutral
ham,"Hey...Großartiges Geschäft...Farm Tour 9 bis 5pm $95 / pax, $50 Anzahlung bis 16 Mai",german,Neutral
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,english,Positive
ham,"Better than bb. If he wont use it, his wife will or them doctor",english,Positive
ham,"Jokin nur Lar... :-) hängt davon ab, welches Telefon mein Vater bekommen kann lor...",german,Positive
spam,"यदि आप नहीं करते हैं, तो आपका पुरस्कार किसी दूसरे ग्राहक के पास जाएगा. www.c.ti-c.Bi 18+ 150/Mhyfo Thk/ 150/Mhro Thhhhro B53 लंदन W1JL को वापस फोन अगर व्यस्त है.",hindi,Neutral
ham,"अरे Decws मैं अच्छी तरह से फिट करने के लिए अच्छी तरह से फिट करने के लिए चाहते हैं मेरे बजट के लिए अच्छा टी शर्ट है (## wgt; के- ws मैं dbw लोड करेंगे, मुझे निगरानी 2 mv. 2 mv.",hindi,Neutral
spam,"Appelez le 09094100151 pour utiliser les minutes! Appels moulés 10p/min (mob varient). Service fourni par AOM, seulement GBP5/mois. AOM Box61,M60 1ER jusqu'à l'arrêt.",french,Neutral
ham,"Smm... लकड़ीलैंड कहीं ओर ले जाता है. आप कैथोलिक पत्रिका पाते हैं, उसका टेलिफोन नंबर वहाँ होगा.",hindi,Neutral
ham,Je m'ennuie tellement...,french,Neutral
ham,हमारे प्रेज़ान की माँ कल रात गुज़र गई. उसके और परिवार के लिए प्रार्थना करो.,hindi,Neutral
ham,इसके लिए कोई दवा नहीं,hindi,Neutral
ham,Wo ist es? Gibt es eine Öffnung für Mca.,german,Neutral
ham,"Je vais finir mon bain, bonne nuit.",french,Neutral
ham,Yun ah.maintenant ü wkg où?btw si ü go nus sc. Ü wana se spécialise en wad?,french,Neutral
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,english,Negative
ham,Hey! N'oubliez pas... Vous êtes MINE... Pour MOI... Ma possession... MA propriété... MMM... * sourire enfantin*...,french,Neutral
ham,"यह ठीक है, मैं इसके बारे में बाद में आप पर कुतिया होगा",hindi,Neutral
ham,"Ich habe genug für die Hälfte und die zehn, die ich dir schulde.",german,Negative
ham,Comment allez-vous?,french,Neutral
ham,"Okay, keine Wahala, vergiss nicht, dass ein Freund in Not...",german,Positive
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,english,Positive
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),english,Negative
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,english,Neutral
ham,चीखने - चिल्लाने के लिए तैयार हो जाओ:),hindi,Neutral
ham,Tu m'as demandé de ne pas appeler la radio.,french,Neutral
spam,"JEUX GRATUITS. Obtenez Rayman Golf 4 GRATUITEMENT à partir de l'arcade de jeux O2. 1er obtenir les paramètres de jeux UR. Répondre POST, puis enregistrer & activ8. Appuyez sur 0 clé pour Arcade.",french,Neutral
spam,Vous avez gagné un prix garanti £200 ou même £1000 pour réclamer UR prix appel gratuit sur 08000407165 (18+) 2 stop getstop sur 88222 PHP,french,Negative
ham,Oh k k:)aber er ist nicht ein großer Hitter.anyway gut,german,Neutral
ham,"* Bin in einem Zug zurück von Northampton, also fürchte ich nicht!",german,Neutral
ham,"House-Maid ist der Mörder, weil der Mann auf &lt;#&gt; th Januar ermordet wurde. Als Feiertag sind alle govt.instituitions geschlossen, einschließlich Postamt..verstehen?",german,Neutral
ham,Tout ce qui est lor sauf Toa Payoh a sa place 2 walk meh...,french,Negative
ham,टॉम तीर जो अदालत में जाना चाहता है. &lt; DEClialgt; तो आप 9 पर बस खड़े करने के लिए आते हैं.,hindi,Neutral
ham,Essayez de faire quelque chose de cher.,french,Neutral
ham,"Je t'apporte une bouteille de vin pour nous amuser, je plaisante, je t'apporte encore une bouteille, rouge ou blanc, à demain.",french,Positive
spam,"Rufen Sie 09094100151 ur Minuten zu verwenden! Anrufe cast 10p/min (mob variieren). Service von AOM, nur GBP5/Monat. AOM Box61,M60 1ER bis u stop. Alter nur 18+!",german,Negative
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",english,Positive
ham,Mais la télé a décidé qu'elle ne me laisserait pas le regarder et que Mia et elliot s'embrassaient!,french,Negative
ham,Kann u Foto msgs zu Ihrem Telefon?,german,Neutral
ham,"Si je suppose, autant prendre 1 voiture",french,Neutral
ham,Havent shopping now lor i juz arrive only,english,Neutral
ham,"Wir haben JD für Kundendienst cum Konten Executive an ur mail id geschickt, Für Details kontaktieren Sie uns",german,Neutral
ham,आप अंगूठी वाला जब ओए,hindi,Neutral
ham,Fffff. Pouvez-vous envoyer un texto à Kadeem ou êtes-vous allé trop loin,french,Neutral
ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,english,Positive
ham,Auf dem Weg zur Schule. Können Sie mir pls schicken ashley's Nummer,german,Positive
ham,Sind Sie in der Stadt? Das ist V. WICHTIG,german,Neutral
ham,"Okay, ist es ein Problem, ihn zu belästigen?",german,Negative
ham,Hmmm...k... mais je veux changer le champ rapidement da:-)je veux obtenir administrateur système ou administrateur réseau..,french,Positive
ham,Ce que tu as fait est parti.,french,Neutral
ham,"मेरे चेहरेबुक नहीं देखा है, है न? लोल!",hindi,Neutral
ham,"Ich habe etwas Salz, du kannst es in meine offenen Wunden reiben, wenn du willst!",german,Neutral
ham,Ok je vais aller à l'usf dans 15 minutes,french,Positive
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.,english,Positive
ham,"Nun, ich wollte aufgeben, weil sie alle sagten nein, sie taten nicht eine Nacht. Ich beharrte und fand eine, aber es ist sehr billig, also entschuldige ich mich im Voraus. Es ist nur irgendwo zu schlafen ist es?",german,Neutral
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",english,Negative
ham,Then ü come n pick me at 530 ar?,english,Neutral
spam,"यह 2 मिनट है जब हमने 2 से संपर्क की जाँच की है. यू ने 750 पाउण्ड पुरस्कार जीता है. 2 दावा है, 087121388 अब कॉल! केवल 10 बजे. BT-T-D-Dete-CCONECON-TCON-TCONTCONTENTEN-2",hindi,Neutral
ham,"Je vais me baigner d'abord, mais ma soeur utilise le filet pour dire quand elle finit...",french,Negative
ham,"आज ""काल्ड समर्पित दिन है."" कौन सा गीत मेरे लिए समर्पित करेगा? यह सब मूल्यवान फ्रेंडों के लिए भेजें लेकिन पहले जवाब मुझे...",hindi,Neutral
ham,Je n'ai toujours pas vérifié.,french,Neutral
spam,"BRELASTTETHEESTHET266555 कॉल और एक जीवित ऑपरेटर से बात करने के लिए एक जीवित ऑपरेटर से बात करने के लिए, या तो 20005CHHH+oHTHARTHARTH 18+ केवल करने के लिए",hindi,Neutral
ham,"Ich gehe zuerst baden, aber meine sis mit net tell u, wenn sie beendet k...",german,Neutral
ham,Où est-il? Y a-t-il une ouverture pour Mca.,french,Neutral
spam,आप एक विजेता यू विशेष रूप से चुना गया है 2000 नकदी या 4000 छुट्टी (एफएसलाइट) एक जीवित ऑपरेटर से बात करने के लिए,hindi,Neutral
spam,Dernière chance 2 demander une valeur de £150 de bons de réduction-Texte OUI à 85023 maintenant!SavaMob-member offre mobile T Cs 08717898035. £3.00 Sub. 16. Supprimer txt X ou STOP,french,Negative
ham,"Lol oui, mais ça ajoutera de l'épice à votre journée.",french,Positive
ham,आठवें के लिए कितना?,hindi,Neutral
ham,Dis-moi quand tu seras avec nous.,french,Neutral
ham,Je suis encore assez faible aujourd'hui.. Mauvaise journée?,french,Neutral
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",english,Neutral
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",english,Negative
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,english,Positive
ham,Many times we lose our best ones bcoz we are,english,Positive
ham,"Hab nicht geplant, später zu kaufen. Ich checke bereits Lido nur 530 Show in e Nachmittag. U fertig Arbeit bereits?",german,Neutral
ham,मैं घर आने की जरूरत है और तुम्हें कुछ अच्छी तरह से कुछ दे...,hindi,Neutral
ham,"Désolé, je t'appelle plus tard.",french,Negative
ham,"I want to show you the world, princess :) how about europe?",english,Positive
ham,के- के- :: - (): फिर कुछ फिल्में देख रहे हैं.,hindi,Neutral
ham,S:-)kallis wont play in first two odi:-),english,Negative
ham,Es war ein langer Tag. Ich bin erschöpft. Ich will nur kuscheln und ein Nickerchen machen,german,Negative
ham,"मुझे लगता है कि पिछले nolox यह मुझे दोष था, साथी यह मुझे था, साथी यह pmtt या योग था! यू 4 मुझे दे? मुझे लगता है कि udllix",hindi,Neutral
ham,"विश्‍वास की ऊंचाई: सभी Aerroterters Wards Wards Wapeer Wap; वे 2 Merrd एक ardooos में बैठ गया. वे arrrer कहा कि वे Werrrws कहा था उनके विद्यार्थियों द्वारा बनाया गया. डी. डी. डी. डी. डी. डी. बस एक चाल से बाहर चले गए. उन्होंने कहा: ""अगर यह है, यह मेरे विश्वास के द्वारा किया गया है.",hindi,Neutral
ham,Je viens de voir Ron Burgundy capitaine d'un bateau de fête alors oui,french,Neutral
ham,दवा के बाद वह खाने के लिए सक्षम हो जाएगा।,hindi,Neutral
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.,english,Positive
ham,प्रेम एक नियम है; जिससे आप प्रेम करते हैं उसे प्रसन्‍न कीजिए ।,hindi,Neutral
ham,"रात को मीठा, नींद अच्छी तरह से! मैं सिर्फ एमिली रोज़ की संरक्षा देखने के लिए किया गया है और फिर कभी सो नहीं सकता!",hindi,Neutral
ham,K:)eng rocking in ashes:),english,Neutral
ham,"Du machst die Dinge immer größer, als sie sind",german,Negative
ham,"S'il vous plaît, appelez-moi toute erreur de mon côté, désolé, docteur Pls da goto.",french,Positive
ham,Wot about auf wed nite Ich bin 3 dann aber nur bis 9!,german,Neutral
ham,Je serai dans le sch fr 4-6... je dun haf da livre dans le sch... c'est à la maison...,french,Neutral
ham,Waiting for your call.,english,Neutral
ham,"Ich weiß, dass WOTU R an ihnen vorbeikommt, wenn ich mich um etwas gekümmert habe.",german,Neutral
ham,"L'amitié n'est pas un jeu à jouer, Ce n'est pas un mot à dire, Il ne commence pas le Mars et se termine le Mai, C'est demain, hier, aujourd'hui et e",french,Negative
ham,Mon ordinateur vient de friter la seule partie essentielle dont nous ne gardons pas les pièces de rechange parce que mes putains de colocataires looovvve laissant la chose tourner sur plein &lt;#&gt; /7,french,Neutral
spam,Gr8 neuer Service - Live-Sex-Video-Chat auf Ihrem Pöbel - sehen Sie die sexysten schmutzigsten Mädchen live auf ur Telefon - 4 Details Text geil auf 89070 zu kündigen senden STOP an 89070,german,Negative
ham,"L'imprimeur est cool, je veux dire groovy, le vin groovy.",french,Negative
ham,Then why no one talking to me,english,Negative
ham,"Demain, je ne vais pas au théâtre... Pour que je puisse venir où que tu m'appelles... Dites-moi où et quand venir demain.",french,Neutral
spam,"lyriccalladie(21/F) lädt Sie ein, ihr Freund zu sein. Antworten Sie YES-910 oder NO-910. Siehe sie: www.SMS.ac/u/hmmross STOP? Senden STOP FRND an 62468",german,Negative
ham,Ne prenez pas votre temps.,french,Neutral
ham,Sir schicken Sie an die Gruppe Mail überprüfen Sie es.,german,Negative
ham,Dieser Schmerz hätte nicht zu einem schlimmeren Zeitpunkt kommen können.,german,Neutral
ham,Omg vous pouvez faire une chapelle de mariage à Borderville? Pourquoi ont-ils toutes les bonnes choses?,french,Neutral
ham,K..k:)where are you?how did you performed?,english,Neutral
ham,Warte. Ich werde msg nach &lt;#&gt; min.,german,Neutral
ham,She's fine. Sends her greetings,english,Positive
ham,"यह ठीक है, कम से कम हाथ और अभी भी चारों ओर है",hindi,Neutral
ham,I need to come home and give you some good lovin...,english,Positive
ham,"Hey, lass es. Keine große Sache:-) Pass auf dich auf.",german,Neutral
ham,What does the dance river do?,english,Neutral
ham,Ma maison ici e ciel assez sombre liao... Si la pluie alors obtenu excuse pas 2 courir déjà rite... Hee...,french,Positive
ham,Miss appel miss appel khelate kintu adversaire miss appel dhortelage. Thats d règle. Un avec grand téléphone réception de qualité gagne.,french,Positive
ham,"C'était un message transmis, je croyais que vous m'envoyiez ça.",french,Neutral
ham,"Haha génial, omw à l'époque",french,Positive
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,english,Positive
ham,"Ich traf Sie als Fremder und wählte Sie als meinen Freund. Solange die Welt steht, endet unsere Freundschaft nie. Lets be Friends forever!!! Gud nitz...",german,Negative
ham,"मैं ठीक हूँ, सपने को देखो. क्या अच्छा है. तुम आगे क्या कर रहे हो.",hindi,Neutral
ham,"Ich sitze hier in einer Haltestelle und parke gerade im Laden und blähe mir die Augen aus, weil ich das Gefühl habe, dass ich in allem ein Versager bin. Niemand will mich und jetzt fühle ich mich, als würde ich dich im Stich lassen.",german,Negative
ham,In Ordnung.,german,Neutral
ham,Était jeu 9 portes jeu et course de gt sur téléphone lol,french,Positive
ham,Mais vraiment drôle lor wat... puis u shd haf courir plus courte distance wat...,french,Neutral
ham,"Uh, Achtung, wir haben nicht so viel übrig",german,Neutral
ham,"Eh ur Laptop hat keinen Vorrat Lei... Er sagt, mon muz wieder kommen, um einen Blick zu nehmen c bekam ein nicht...",german,Neutral
ham,"- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.",german,Neutral
ham,"Très bien, oui, s'il vous plaît!",french,Neutral
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,english,Negative
ham,"Wie wäre es mit Kleidung, Schmuck und Ausflügen?",german,Neutral
ham,Remind me how to get there and I shall do so,english,Neutral
ham,Denn ich bin nicht verrückt lol,german,Positive
ham,C'est quelque chose que les gars ont que je ne sais pas?,french,Neutral
ham,मुझे बताओ कि आप के बारे में बात कर रहे थे कुछ विशेष शेयर है,hindi,Neutral
ham,Je ne peux pas choisir le téléphone tout de suite.,french,Negative
ham,"Eh bien, je pourrais ne pas venir alors...",french,Neutral
spam,Un prix de 400 £ XMAS vous attend! Notre ordinateur vous a choisi au hasard parmi nos fidèles clients mobiles pour recevoir une récompense de 400 £. Il suffit d'appeler 09066380611,french,Neutral
spam,"Erschrecken Sie Ihren Mob mit einer Halloween Sammlung von einem Logo & Bild Nachricht plus einen freien unheimlichen Ton, txt CARD SPOOK bis 8007 zed 08701417012150p pro Logo/Pic",german,Neutral
ham,Alles Gute damit.,german,Neutral
ham,Thanks for sending this mental ability question..,english,Positive
ham,"alright, I'll make sure the car is back tonight",english,Positive
ham,Also are you bringing galileo or dobby,english,Neutral
ham,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,english,Positive
ham,Tu me manques... que s'est-il passé?,french,Neutral
ham,"Ich habe ihm gesagt, dass ich es zurückgeschickt habe und er sagt, ich sollte es nicht wieder bestellen.",german,Neutral
ham,I'm freezing and craving ice. Fml,english,Negative
ham,लेकिन अगर वह मैं ठीक हूँ शराब.,hindi,Neutral
spam,Caméra - Vous êtes récompensé d'un appareil photo numérique SiPix! appeler 09061221066 dem fixe. Livraison sous 28 jours.,french,Neutral
ham,Meine Schwester wird mehr verdienen als ich.,german,Neutral
ham,I love u 2 my little pocy bell I am sorry but I love u,english,Positive
ham,Ist ur Änderungen 2 da Bericht groß? Denn ich habe bereits Änderungen 2 da früheren Bericht gemacht.,german,Neutral
ham,Wen did you get so spiritual and deep. That's great,english,Positive
ham,"Wa, ur openin Satz sehr formal... Wie auch immer, mir geht es auch gut, juz tt ich esse in zu viel n Puttin auf Gewicht...Haha... Also ist etwas Besonderes passiert?",german,Neutral
ham,Ich habe meinen Teil geschickt.,german,Neutral
ham,"Vielleicht Westshore oder Hyde Park Dorf, der Ort in der Nähe meines Hauses?",german,Neutral
ham,"डिज़ीम, एक कड़ा मैं अपने सूट से पूछना होगा जब मैं वापस मिलता है",hindi,Neutral
