labels,text,lang,sentiment
ham,"Elle est en voiture, plus tard, je porte un short.",french,negative
spam,"Bitte rufen Sie 08712402578 sofort an, da eine dringende Nachricht auf Sie wartet.",german,neutral
ham,Thank you baby! I cant wait to taste the real thing...,english,positive
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,english,positive
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,english,positive
ham,"Ja, das wird schon, ich liebe dich.",german,neutral
ham,WHO ARE YOU SEEING?,english,neutral
ham,"?? ?????? ??, ??? ????? ?? ???? ??.",hindi,neutral
ham,Je lécherai chaque goutte :) êtes-vous prêt à utiliser votre bouche aussi?,french,positive
ham,"Soll ich kommen, um Gurke zu holen?",german,neutral
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,english,positive
ham,"kam, um die Wohnung zu schauen, scheint in Ordnung, in seinen 50er Jahren? * Ist weg viel wiv Arbeit. Haben Frau kommen um 6.30 Uhr auch.",german,negative
ham,"?? ??? ?? ???? ??? ???? ?? ??? ??? ???? ???...... ?? ???? ??? ???? ???????? ?? ???? ??? ??? ??? ??? ?? ????, ?????, ??? ?? ???? ??? ?? ?? ???? ??? ????? ???. ???????.",hindi,neutral
ham,?? ?? ????? ??? ?? ???? ???,hindi,neutral
ham,"aathi..wo bist du, Liebling..",german,neutral
ham,Qu'est-ce que tu fais plus tard?,french,negative
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,english,negative
ham,K Je serai là avant 4 h.,french,neutral
ham,LMAO ???? ???? ?????? ???? ?? ?? ??? ???? ????? ???,hindi,positive
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",english,positive
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,english,positive
ham,"Ich habe ihm gesagt, dass ich es zurückgeschickt habe.",german,neutral
ham,Là la taille des tablettes d'éléphant & u shove um up ur cul!!,french,neutral
ham,"Sieht aus wie u wil b bekommen einen headstart im verlassen hier bout 2.30ish aber wenn u r verzweifelt für meine Firma könnte ich in früher gehen-wir waren gehen, um im Sommer zu treffen.",german,neutral
ham,??.k: (k) ?? ????? ???? ???? ???,hindi,neutral
ham,"Désolé, j'étais dans la salle de bain.",french,neutral
ham,Kaiez... Genießen Sie ur Unterricht... Gee... Thk e zweite Option klingt Beta... Ich werde gehen yan Jiu den msg u...,german,neutral
ham,What happened to our yo date?,english,neutral
ham,Es ist eins neben der Rolltreppe.,german,neutral
ham,???? ???? ???? ???,hindi,neutral
ham,Where wuld I be without my baby? The thought alone mite break me and I don?t wanna go crazy but everyboy needs his lady xxxxxxxx,english,negative
spam,"1000 flirtet JETZT! Txt GIRL oder BLOKE & ur NAME & AGE, z.B. GIRL ZOE 18 bis 8007 um mitzumachen und zu plaudern!",german,neutral
ham,K.then any other special?,english,positive
ham,"Mmmmm... Ich liebe es, heute Morgen zu deinen Worten aufzuwachen! Ich vermisse dich auch, meine Liebe. Ich hoffe, dein Tag geht gut und du bist glücklich. Ich warte darauf, dass wir wieder zusammen sind",german,neutral
spam,U ont un amiral secret qui cherche 2 faire contact avec U-find qui ils R*revel qui pense UR si spécial-appel sur 09065171142-stopsms-08718727870150ppm,french,neutral
ham,J'aurais besoin d'un demi-huitième.,french,neutral
spam,?? ??? ?????? ??? ????? ????,hindi,neutral
ham,No need to ke qi... Ü too bored izzit y suddenly thk of this...,english,negative
ham,"?? ???, ????? ????? ???? ????",hindi,neutral
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),english,neutral
ham,"S'il te plaît, demande à maman d'appeler papa.",french,neutral
ham,"Mein Unterricht ist bei 330. Hm, wir gehen für die 1120 bis 1205 eins?",german,negative
ham,??? ??? array tory kory ??????? ???? ??.,hindi,neutral
ham,"Wenn Sie noch wach sind, lassen Sie vielleicht die Kreditkarte, damit ich Gas bekomme, wenn ich zurückkomme, wie er es mir gesagt hat.",german,negative
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?,english,positive
ham,?? ???? ?? ???.,hindi,neutral
ham,?????????? ?? ?? ??? ????? ?? ?????? ????,hindi,neutral
spam,CURGERENAN! ???? ?????? ???? ?? ?? <UK> 2000 ???????? GUUREEEGEEGEEGEEGEEEKKKKKER( 0.91717555) ?? ?? ???? ?? ??? ???? ???. 3030. ??? 12hs ???? 150 IMAPm,hindi,neutral
ham,"???? ??? 2 ???? ?? ??? ??, 1 ??? ?? ???? ?? ??? ????? ??. ?? ??? ???",hindi,neutral
ham,Je pourrais aller 2 sch. Yar au salon e maintenant v ennuyeux.,french,neutral
ham,und sie von verschiedenen Punkten abholen,german,neutral
ham,"Alors, tu fais ça maintenant?",french,neutral
ham,"Er sagte, dass er ein richtiges Kichern hatte, als er u wieder sah! Sie würden möglicherweise die erste Person2die von NVQ sein, aber denken Sie, wie viel Sie für!",german,negative
ham,"?????? ?? ??????, ??? ???? ?????? ?????? ?? ??? ???",hindi,neutral
spam,"????????, ??? ????? ?? ??????/pons ?? 1 ??? ??? ??, ??? COLD ?? ???? ?? ??? ??? ?? TILD ?? ???, ???? phom ????? ?? ??? ???? ???, ???? ????? ??? ??? ??? ???? ?? ??? ??? (18p/rphpt2 ??? ?? ???? ??)",hindi,neutral
ham,Bientôt tu auras la vraie princesse! Est-ce que je te fais mouiller? :),french,positive
ham,Traurige Geschichte von einem Mann - Letzte Woche war mein b'day. Meine Frau wollte mich nicht. Meine Eltern vergaßen n so meine Kinder. Ich ging zur Arbeit. Sogar meine Kollegen nicht wünschen.,german,negative
ham,"K, je peux prendre un autre 8e quand tu auras fini?",french,neutral
ham,????? ?? ????? ?? ???? ?? ?? ???? ?? ???? ??? ?????? ??? ???? ?? ?,hindi,neutral
ham,Webpage s not available!,english,neutral
ham,"????????, ???? ?????, ???? ??? ???? ????? ??? ???? ??? ???? ?? ????? ???",hindi,neutral
ham,Je travaille support technique :)voice process.networking field.,french,positive
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,english,negative
ham,"Vous mettez des photos de votre cul sur facebook. Vous êtes l'une des personnes les plus ouvertes que j'ai jamais rencontrées. Pourquoi je pense qu'une photo de votre chambre vous ferait du mal, vous ferait vous sentir violé.",french,neutral
ham,Was ist dann mit einem weiteren Plan?,german,neutral
ham,"Ich möchte tel u eine Sache u sollte mich nicht verwechseln k Das ist die Botschaft, die Sie SENT:)",german,negative
ham,Est-ce que tu as trouvé l'heure où le bus est à Coz que j'ai besoin d'arranger des trucs.,french,neutral
ham,Oh god. I'm gonna Google nearby cliffs now.,english,positive
ham,??? ???? ????? ???,hindi,neutral
ham,S s..first time..dhoni rocks...,english,neutral
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,english,positive
ham,Es ist ein toller Tag. Haben Sie einen schönen.,german,neutral
ham,Gaid8. slt drms. ????? ????,hindi,neutral
ham,"Alors, quand veux-tu faire de la gym?",french,neutral
ham,Nun werde ich in 3D schrek sehen!!B),german,neutral
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",english,positive
ham,S jetzt nur ich nahm Tabletten. Reaktion Morgen nur.,german,neutral
ham,"?? ??? ???? ????, ?? imw ????",hindi,neutral
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,english,positive
ham,Buy one egg for me da..please:),english,neutral
ham,Talmth ????? ?? ??? ??? ???? ?? ????? ?? ??? ?? ???? ?? ???? ?? ?????? ???,hindi,neutral
spam,WIN une année fourniture de CD 4 un magasin de choix d'une valeur de £500 et entrez notre £100 tirage hebdomadaire txt MUSIC à 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,french,positive
ham,??? ??. ?? ???? ??? ?? ?? ??? ?? ?????? ?? ?????,hindi,neutral
ham,"Wen ur liebenswerte Bums wütend wid u, dnt nehmen es ernst.. Coz wütend ist d meisten kindisch n wahre Art und Weise zeigt tiefe Zuneigung, Pflege n Luv!. kettoda manda... Haben schönen Tag da.",german,neutral
ham,"Haha awesome, omw jetzt damals",german,positive
ham,Je dois commander les pantoufles parce que j'ai dû payer pour la rendre.,french,neutral
ham,Du wirst an der Stelle dieses Mannes sein.,german,neutral
ham,Aiyah u hat okay bereits Lar. E nydc an Radschleusen?,german,positive
ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,english,positive
spam,"SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info",german,neutral
ham,"Sie machen es einfach, zurück zu zahlen. Ich habe &lt;#&gt; yrs zu sagen, aber ich kann zurückzahlen früher. Sie bekommen?",german,neutral
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,english,positive
ham,??????? 2 ???? ??? ??? ???.,hindi,neutral
ham,"Carlos sagt, er wird in &lt;#&gt; Minuten bei Mu sein.",german,neutral
ham,At WHAT TIME should i come tomorrow,english,neutral
ham,Ich fahre mit dem Bus nach Hause...,german,neutral
ham,??.W.??,hindi,neutral
ham,"Je suis déjà rentré chez moi, donc pas du tout.",french,negative
ham,"????? ?? ?????? ???? ??, ?? ?? ????? ??. ??? ?? ?? ???? ??? ?? ????? ???? ?? ???, ??, ???? ???? ??? ????, ????? ??? ?? ????? ?? ?????",hindi,neutral
ham,????? ???? ?????? ?? ??? ???? ??? ?,hindi,neutral
ham,"Oui, c'est sûr que ma copine hante m'a fait trier toutes mes affaires, mais je vais sonner de toute façon en faisant la promotion de l'hexagone pour qui est-ce? Je ne sais pas le numéro. Joke",french,positive
ham,?? ??? ??? ???? ??? ????? ???... ?? ??? ???? ??? ?? ???? ?? ????? ??? ?? ??? ??!,hindi,neutral
ham,"J'ai dix dollars, Jay n'est pas venu.",french,neutral
ham,"Da ma date de naissance dans le certificat est en avril, mais la vraie date est aujourd'hui. Mais ne la publiez pas. Je vous donnerai un cadeau spécial si vous gardez le secret.",french,neutral
ham,?? ??? ?? ??? ?? ?? ?? ?? ?? ?? ??? ?? ?? ????,hindi,neutral
ham,??? ?? ?? ???? ??????? ?? ??? ??? ??!,hindi,neutral
ham,"L'ancien aéroport, c'est tout ce qu'il y a d'autre, mais je baignerai mon chien plus tard.",french,negative
ham,Je ne mangerai pas du tout aujourd'hui.,french,negative
ham,Am Watching House – sehr unterhaltsam – bekomme ich das ganze Hugh-Laurie-Ding – sogar mit dem Stick – tatsächlich vor allem mit dem Stick.,german,neutral
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.,english,neutral
ham,??? ????? ?? ?? ???? ????? ????? ???.,hindi,neutral
ham,??... ?? ???? ????.........,hindi,neutral
ham,"Ich möchte etwas senden, das schnell verkaufen kann. &lt;#&gt; k ist kein einfaches Geld.",german,neutral
ham,Where did u go? My phone is gonna die you have to stay in here,english,negative
ham,Indeed and by the way it was either or - not both !,english,neutral
ham,ight wollen Sie immer noch Geld zu bekommen,german,neutral
ham,Now got tv 2 watch meh? U no work today?,english,negative
ham,"Nee kann dir da nicht helfen, ich hatte noch nie ein iPhone",german,neutral
ham,Où es-tu? Quand est-ce que tu arriveras ici?,french,neutral
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",english,positive
spam,"FreeMSG Vous avez reçu un mini DIGITAL CAMERA GRATUIT, il suffit de répondre SNAP pour récupérer votre prix! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",french,negative
ham,Hows the champ just leaving glasgow!,english,positive
ham,You have got tallent but you are wasting.,english,negative
ham,Diese Bezahlung ist &lt;DECIMAL&gt; lakhs:),german,neutral
ham,Je ne suis pas du tout content de ce que vous dites ou faites,french,negative
ham,Rappelle-moi comment y arriver et je le ferai.,french,neutral
ham,"Dhoni haben Glück, einige große Titel zu gewinnen.So werden wir gewinnen:)",german,neutral
ham,Din i tell u jus now 420,english,neutral
ham,"Also, was machen wir heute?",german,neutral
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,english,negative
ham,That's a shame! Maybe cld meet for few hrs tomo?,english,negative
ham,???????2 ???? ???.,hindi,neutral
ham,??? ?????? ???? ?? ??? ?????? ???? ???,hindi,neutral
spam,Vous avez WON un montant garanti de £1000 cash ou un prix £2000. Pour réclamer le prix yr appelez notre représentant du service à la clientèle au 08714712412 entre 10h et 19h Coût 10p,french,positive
ham,Je suis en mode paresseux aujourd'hui.,french,neutral
ham,Ce qu'aujourd'hui-dimanche..dimanche est vacances..donc pas de travail..,french,neutral
spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,english,positive
ham,Ich sage Lavendel.,german,neutral
ham,"??? ??, ???? ?? ??? ???????. ???? ??? ?? ???? ??. ??? ??? ???? ???? ?? ????? ???? ???...",hindi,neutral
ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",english,neutral
ham,Thanks for loving me so. You rock,english,positive
spam,???? ????? ???? ?? ??? ??! www.cblibe.com ?? ???? ?????? ??????? ??????? ???? 0871790 ????/Pixy/Powiks/Gows/Goles ???? 3 ?? ??? ?? ??????? ???? ?? ??? ??,hindi,neutral
ham,?????? ??? ?? ??? ???? ??? ??.,hindi,neutral
spam,"?? ????????? ?? ???? ?? ???? ???? ????? ??? ?? ????????? ?? ???? ?? ???? ???? ?? ???? www. reallons.k, ??? n ???? ?????? ??? 3GBP ????? ?? ???? ???? ??",hindi,neutral
ham,Wir haben uns scheiden lassen.,german,neutral
ham,Orh i tot u say she now still dun believe.,english,neutral
ham,"Oh, wirklich?? Hast du es auf Sendung geschafft? Was ist dein Talent?",german,positive
ham,No b4 Jeudi,french,negative
ham,Baaaabe! Ich vermisse dichuuuu! Wo bist du? Ich muss gehen und meine Klasse bei 5 unterrichten...,german,neutral
ham,?? ????? ???? ??? ?? ???? ?? ??? ?????? ??? ??? ??,hindi,neutral
ham,"Ein niedlicher Gedanke für Freundschaft: ""Es ist nicht notwendig, jedes Geheimnis mit ur schließen Frnd zu teilen, aber watever u geteilt sollte wahr sein""....",german,neutral
ham,"Chéri? Chéri? Chéri? Buvons sexy? Prune à sucre? Loverboy? Tu me manques, boyto... *smacks ton cul* Tu es allé au gymnase aussi?",french,positive
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :),english,positive
ham,?? ??? ????? ???? ?,hindi,neutral
ham,Bringst du auch Galileo oder Dobby mit?,german,neutral
ham,"Ensuite, Dun porter jeans lor...",french,neutral
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,english,positive
ham,"Am Ende kotzt sie vielleicht noch, aber es ist in Ordnung. Nicht alles wird rauskommen.",german,neutral
ham,Ist alles in Ordnung?,german,neutral
spam,2 ?? ??? ??? ?? ??? ??? ????? ??? ???? ?????? ??? packing ??????? ?? ???? 2 arb ???? ?? ???? ??? ??????? ????? ??????? ??? 69888Nt ?? ?????? Mig.C2p.,hindi,neutral
ham,"Mec, on devrait encore se rafraîchir.",french,neutral
ham,Alors tu vas à Ikea str aft dat?,french,neutral
ham,"Gemäß Ihrer Anfrage 'Maangalyam (Alaipayuthe)' wurde als Anrufer für alle Anrufer eingestellt. Drücken Sie *9, um Ihre Freunde zu kopieren Callertune",german,neutral
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,english,positive
ham,Dis à Rob de s'emparer de son gf dans le théâtre.,french,negative
ham,"Spoke avec oncle John aujourd'hui. Il sent fortement que vous avez besoin de sacrifice pour me garder ici. Il va vous appeler. Quand il le fait, je vous supplie d'écouter. Ne faites pas de promesses ou de faire des choses claires ne sont pas faciles. Et j'ai besoin que vous nous laissiez travailler sur les choses. Tant que je continue à attendre de l'aide, ma créativité sera étouffée afin que pls juste le garder heureux, pas de promesses de votre part.",french,positive
ham,"???? ????????? ???? ????, ????? ??? ????? ???? ?",hindi,neutral
ham,"Lassen Sie mich wissen, wie es sich in den nächsten 6 Stunden. Es kann sogar Anhang sein, aber Sie sind aus diesem Alter Bereich. Allerdings ist es nicht unmöglich. So einfach chill und lassen Sie mich wissen, in 6 Stunden",german,neutral
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,english,positive
ham,"?? ??? ???, ?? 8 ??? ?? ??? ????? ?? ??? ????",hindi,neutral
ham,Sind Sie so viel buzzy,german,neutral
ham,Ok i juz receive..,english,positive
spam,"Sunshine Quiz Wkly Q! Gewinnen Sie eine Top-Sony-DVD-Player, wenn u wissen, welches Land Liverpool spielte in der Mitte der Woche? Txt ansr 82277. £1.50 SP:Tyron",german,positive
ham,"Chère, appellera Tmorrow.pls accommodation.",french,neutral
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",english,negative
ham,Il sait aussi pour le menu du déjeuner seulement da.. Je sais,french,neutral
ham,??? ?? ?? ????? ??? ??. ??? ?????? ???? ?? ????? ???? ???? ?? ??? ??????? ???? ???? ??,hindi,neutral
ham,????? ?????? ?? ??? ?? ???? ???? ????,hindi,neutral
ham,Nachricht:einige Text fehlt* Absender:Name fehlt* *Nummer fehlt *Sende:Datum fehlt *Missing U a lot thats y alles fehlt über fullonsms.com gesendet,german,negative
ham,J'attends 4 ü à l'intérieur du parking...,french,neutral
ham,Hey! do u fancy meetin me at 4 at cha -Hav ein lil Getränk auf mich. wenn nicht txt oder Ring mich und wir treffen können l8r. ziemlich müde kam bei 3 v.pist ;) Liebe Pete x x x,german,positive
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,english,neutral
ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,english,positive
ham,Hé buns sexy! Qu'en est-il de ce jour-là? Aucun mot de toi ce matin sur YM... :-(... Je pense à toi,french,positive
ham,"Hé, regarde ça, j'ai répertorié Da.",french,neutral
spam,Pour les pauses shopping les plus étincelantes à partir de 45 par personne; composez le 0121 205050 ou visitez www.shortbreaks.org.uk,french,neutral
spam,????? ??????? ??????? ????????? ??? ?? ?? ?? ??? ??? ????? 4 G.B ?? ???? ?? ???? ??? Crase ?? ??? ???? ???? ?? ??????? ??? ??? ???? ?? ??? ??????? ????,hindi,neutral
ham,Ich komme in fünf Minuten nach Hause.,german,neutral
ham,"Und auch ich habe ihn in letzter Zeit ein paar Mal weggepustet, also würde ich ihn lieber nicht aus dem Blauen simsen, um nach Gras zu suchen.",german,neutral
ham,???? ??????! ??? ??? ???????? ?? ?????.,hindi,neutral
ham,???? ??? ?? ?? ??? ?? ??? ?? ?? ????? ??. ?????? ?? ????????? ?? ???... ??? ????? ???? ??? ??????,hindi,neutral
ham,"Comme je suis entré dans ma cabine, mon PA a dit, '' Happy B'day Boss!!''. Je me sentais spécial. Elle m'a demandé 4 déjeuner. Après le déjeuner, elle m'a invité à son appartement. Nous y sommes allés.",french,positive
ham,"K, c'est l'incident?",french,neutral
ham,"??? ????, ????. ???????, ??? ???? ?? ????? ???? ??? ???? ??. Dino ?? ?????? ?????? ?????? ????.",hindi,neutral
ham,"Ich wollte dir ein glückliches neues Jahr wünschen und ich wollte mit dir über einige rechtliche Ratschläge sprechen, um mit zu tun, wenn Gary und ich aber persönlich aufbrachen. Ich werde eine Reise nach Ptbo dafür machen. Ich hoffe, alles ist gut mit dir Babe und ich liebe dich :)",german,positive
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,english,positive
ham,??? ?? ?? ???.,hindi,neutral
ham,"1.20 der Anruf Kosten. Was ich denke, ist nicht schlecht. Miss ya, brauchen Sie, wollen Sie, lieben Sie",german,negative
ham,Arrête de me connaître si bien!,french,neutral
ham,At the funeral home with Audrey and dad,english,negative
ham,"??? ??. thu. gudu, gudyt.",hindi,neutral
ham,???? ??? ?? ????? ??? ??. ???? ??? ????????? ???. ?????? ?? ???? ??????? ???? ????? ????? ?? ??? ??? ??? ??.,hindi,neutral
ham,"?? ????, ??? ??? ?? ???? ?? ??? ??",hindi,neutral
ham,"Bien sûr, chaque fois que vous montrez la baise vers le haut &gt;:(",french,neutral
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,english,positive
ham,On a aussi utilisé la route de Dat?,french,neutral
ham,"Ich traf Sie als Fremder und wählte Sie als meinen Freund. Solange die Welt steht, endet unsere Freundschaft nie. Lets be Friends forever!!! Gud nitz...",german,negative
ham,"Oh gei. Das passierte mir in tron. Vielleicht krank dl es in 3d, wenn es aus",german,neutral
ham,"Ich werde um drei da sein, es sei denn, ihr wollt, dass ich etwas früher komme.",german,neutral
ham,??? ??? ????? ?? ??? Enfannack ????? ????,hindi,neutral
spam,"Wann2 PREGEAC+GENT 4 ?? ?? m8? ?? ??????? ??? ??? ?? ?????? ?? ???? 1) ???????, 2) ?????????, 3) ??? 1,2 ?? 33049 ?? ???.",hindi,neutral
ham,What is important is that you prevent dehydration by giving her enough fluids,english,positive
ham,Should I head straight there or what,english,positive
ham,Où êtes-vous inébranlable?,french,neutral
ham,??? ?? Yayuuuuuu ??... ?? 3230 ???????? ?? ???? ??? ??...... ?? ?????????? ?? ??? ????? ??????? ??... ??? ??? $50 ?? ??? ??? ??? ???...,hindi,neutral
ham,??? ??? ???? ?? ?? ?? ?? ???? ??. ??? ?? ???? ???????? ?? ???? ?? ?? ??????? ???? ???.,hindi,neutral
ham,Je viendrai te chercher vers 17h15 pour aller à Taunton si tu veux encore venir.,french,neutral
ham,?? ????? ???.,hindi,neutral
ham,"Tut mir leid, ich rufe später an.",german,neutral
ham,"Mais si elle boit, je vais bien.",french,neutral
ham,Joyeux Noël à u aussi annie!,french,neutral
ham,???? ?? ??? ???? ???? ??? ????? ?? ?? ?????? ?? ??? ???.,hindi,neutral
ham,"C-Film ist Juz Last-Minute-Entscheidung mah. Juz sehen 2 Lar, aber ich bin nicht interessiert.",german,neutral
ham,Ich werde Sie nicht mit Ihrer Erlaubnis anfassen.,german,neutral
ham,Ok pa. Nichts Problem:-),german,negative
spam,MESSAGE IMPORTANT. Il s'agit d'une dernière tentative de contact. Vous avez des messages importants en attente de nos réclamations clients dept. Expires 13/4/04. Appelez 08717507382 MAINTENANT!,french,positive
ham,Bist du jetzt nass?,german,neutral
spam,Am new 2 club & dont fink nous avons rencontré encore Will B gr8 2 C U S'il vous plaît laisser msg 2day wiv ur area 09099726553 réponse promis CARLIE x Appels£1/minMobsmore LKPOBOX177HP51FL,french,positive
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,english,neutral
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,english,neutral
ham,"Keine Sorge, * ist einfach, einmal Zutaten haben!",german,neutral
